method	panels	mean_panel_pooled_F1	mean_panel_L1_union_pp	mean_panel_Pearson_union	total_TP	total_FP	total_FN	mean_delta_F1	min_delta_F1	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	improved_samples_F1	worsened_samples_F1	unchanged_samples_F1
raw_rescue_ani0.97_xny700_br0.2_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.2_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.2_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.2_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.2_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny700_br0.2_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny700_br0.3_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.3_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny700_br0.3_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny700_br0.5_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	180.96940660439162	-0.03507871949267515	1110	316	66	0.0010183459215245849	0.0	140.42885949199834	-0.9608348273917772	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8882791407442188	35.76275879445157	0.9316002425700405	1110	316	66	0.0010183459215245849	0.0	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	24.0
raw_rescue_ani0.97_xny700_br0.5_af0.9_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny700_br0.5_af0.9_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny900_br0.05_af0.1_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny900_br0.05_af0.1_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny900_br0.05_af0.3_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny900_br0.05_af0.3_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny900_br0.05_af0.5_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny900_br0.05_af0.5_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	35.76275879445157	0.9316002425700405	1109	316	67	0.0005902026362384435	0.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	25.0
raw_rescue_ani0.97_xny900_br0.05_af0.7_raw_depth_abundance	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8850712707698818	180.96946329090525	-0.035078691981263115	1109	316	67	0.0005902026362384435	0.0	140.4288682130004	-0.9608348231592523	1.0	0.0	-1.0	1.0	0.0	25.0
